"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"60 years","60","Male","M","Hispanic or Latino","2135-2",14158,1405717,1007.2,990.6,1023.8
,"61 years","61","Male","M","Hispanic or Latino","2135-2",14775,1329379,1111.4,1093.5,1129.3
,"62 years","62","Male","M","Hispanic or Latino","2135-2",14611,1256841,1162.5,1143.7,1181.4
,"63 years","63","Male","M","Hispanic or Latino","2135-2",15095,1184981,1273.9,1253.5,1294.2
,"64 years","64","Male","M","Hispanic or Latino","2135-2",15221,1117555,1362.0,1340.4,1383.6
,"65 years","65","Male","M","Hispanic or Latino","2135-2",15377,1047196,1468.4,1445.2,1491.6
,"66 years","66","Male","M","Hispanic or Latino","2135-2",15231,977597,1558.0,1533.3,1582.7
,"67 years","67","Male","M","Hispanic or Latino","2135-2",15477,912639,1695.9,1669.1,1722.6
,"68 years","68","Male","M","Hispanic or Latino","2135-2",15181,845235,1796.1,1767.5,1824.6
,"69 years","69","Male","M","Hispanic or Latino","2135-2",15316,785484,1949.9,1919.0,1980.8
,"70 years","70","Male","M","Hispanic or Latino","2135-2",15480,727742,2127.1,2093.6,2160.6
,"71 years","71","Male","M","Hispanic or Latino","2135-2",15237,673454,2262.5,2226.6,2298.4
,"72 years","72","Male","M","Hispanic or Latino","2135-2",15299,627564,2437.8,2399.2,2476.5
,"73 years","73","Male","M","Hispanic or Latino","2135-2",15256,585758,2604.5,2563.2,2645.8
,"74 years","74","Male","M","Hispanic or Latino","2135-2",15172,538165,2819.2,2774.3,2864.1
,"75 years","75","Male","M","Hispanic or Latino","2135-2",15275,490370,3115.0,3065.6,3164.4
,"76 years","76","Male","M","Hispanic or Latino","2135-2",14794,442591,3342.6,3288.7,3396.5
,"77 years","77","Male","M","Hispanic or Latino","2135-2",14604,397528,3673.7,3614.1,3733.3
,"78 years","78","Male","M","Hispanic or Latino","2135-2",14512,350117,4144.9,4077.5,4212.3
,"79 years","79","Male","M","Hispanic or Latino","2135-2",14212,316449,4491.1,4417.2,4564.9
,"80 years","80","Male","M","Hispanic or Latino","2135-2",14162,286949,4935.4,4854.1,5016.7
,"81 years","81","Male","M","Hispanic or Latino","2135-2",13971,259461,5384.6,5295.3,5473.9
,"82 years","82","Male","M","Hispanic or Latino","2135-2",13953,233479,5976.1,5877.0,6075.3
,"83 years","83","Male","M","Hispanic or Latino","2135-2",13527,210301,6432.2,6323.8,6540.6
,"84 years","84","Male","M","Hispanic or Latino","2135-2",13426,188846,7109.5,6989.2,7229.8
,"85 years","85","Male","M","Hispanic or Latino","2135-2",12974,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"86 years","86","Male","M","Hispanic or Latino","2135-2",12457,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"87 years","87","Male","M","Hispanic or Latino","2135-2",12169,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"88 years","88","Male","M","Hispanic or Latino","2135-2",11355,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"89 years","89","Male","M","Hispanic or Latino","2135-2",10848,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90 years","90","Male","M","Hispanic or Latino","2135-2",9916,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"91 years","91","Male","M","Hispanic or Latino","2135-2",9104,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"92 years","92","Male","M","Hispanic or Latino","2135-2",8246,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"93 years","93","Male","M","Hispanic or Latino","2135-2",6876,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"94 years","94","Male","M","Hispanic or Latino","2135-2",5852,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95 years","95","Male","M","Hispanic or Latino","2135-2",4722,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"96 years","96","Male","M","Hispanic or Latino","2135-2",3668,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"97 years","97","Male","M","Hispanic or Latino","2135-2",2883,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"98 years","98","Male","M","Hispanic or Latino","2135-2",2111,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"99 years","99","Male","M","Hispanic or Latino","2135-2",1513,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100","Male","M","Hispanic or Latino","2135-2",2607,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","Male","M","Hispanic or Latino","2135-2",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Underlying Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"Title: US; 2018+; SYA; M; HIS; HIS; 2024; 5Y"
"Hispanic Origin: Hispanic or Latino"
"Sex: Male"
"Year/Month: 2020; 2021; 2022; 2023; 2024"
"Group By: Single-Year Ages; Sex; Hispanic Origin"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Mar 13, 2026 12:13:16 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2024 on CDC WONDER Online Database, released in 2026. Data are from the Multiple Cause of Death Files,"
"2018-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Mar 13, 2026 12:13:16 AM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Ages 85-100."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"3. Deaths of persons with Hispanic origin ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among"
"Hispanic Origin groups, so are not included in the Hispanic Origin specific counts and rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"4. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Racial Differences."
"5. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Confidence-Intervals."
"6. The population figures for year 2024 are single-race estimates of the July 1 resident population, from the Vintage 2024"
"postcensal series released by the Census Bureau on June 27, 2024. The 2024 series is based on the Modified Blended Base produced"
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend"
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data"
"from the internal Census Edited File (CEF). The population figures for year 2023 are single-race estimates of the July 1"
"resident population, from the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. The 2023 series is"
"based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The"
"Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic"
"Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The population figures for years 2022 are"
"single-race estimates of the July 1 resident population, from the Vintage 2022 postcensal series released by the Census Bureau"
"on June 22, 2023. The 2022 series is based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1,"
"2020 decennial population count. The Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates"
"for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The"
"population figures for years 2021 are single-race estimates of the July 1 resident population, based on the Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count, from the Vintage 2021 postcensal"
"series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates of the"
"July 1 resident population, from the Vintage 2020 postcensal series based on April 2010 Census, released by the Census Bureau on"
"July 27, 2021. The population figures for year 2019 are single-race estimates of the July 1 resident population, from the"
"Vintage 2019 postcensal series based on April 2010 Census, released by the Census Bureau on June 25, 2020. The population"
"figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series based"
"on April 2010 Census, released by the Census Bureau on June 20, 2019. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Population Data."
"7. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age"
"Group."
"8. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,"
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,"
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former"
"counties are not available for 2022 and later years. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Connecticut-2022."
"9. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
