"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"73 years","73","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",841,59181,1421.1,1325.0,1517.1
,"74 years","74","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",840,54379,1544.7,1440.3,1649.2
,"75 years","75","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",795,49600,1602.8,1491.4,1714.2
,"76 years","76","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",788,44998,1751.2,1628.9,1873.5
,"77 years","77","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",792,40751,1943.5,1808.2,2078.9
,"78 years","78","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",754,35521,2122.7,1971.2,2274.2
,"79 years","79","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",723,32440,2228.7,2066.3,2391.2
,"80 years","80","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",705,29479,2391.5,2215.0,2568.1
,"81 years","81","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",710,26472,2682.1,2484.8,2879.4
,"82 years","82","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",657,23526,2792.7,2579.1,3006.2
,"83 years","83","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",592,20862,2837.7,2609.1,3066.3
,"84 years","84","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",594,18586,3196.0,2938.9,3453.0
,"85 years","85","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",583,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"86 years","86","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",528,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"87 years","87","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",526,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"88 years","88","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",511,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"89 years","89","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",421,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90 years","90","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",404,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"91 years","91","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",388,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"92 years","92","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",337,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"93 years","93","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",274,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"94 years","94","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",215,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95 years","95","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",162,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"96 years","96","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",126,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"97 years","97","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",98,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"98 years","98","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",71,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"99 years","99","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"100+ years","100","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",81,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Not Stated","NS","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Underlying Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"Title: US; 2018+; SYA; M; NON; MOR; 2024; 5Y"
"Hispanic Origin: Not Hispanic or Latino"
"Sex: Male"
"Single Race 6: More than one race"
"Year/Month: 2020; 2021; 2022; 2023; 2024"
"Group By: Single-Year Ages; Sex; Hispanic Origin; Single Race 6"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Mar 13, 2026 12:19:49 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2024 on CDC WONDER Online Database, released in 2026. Data are from the Multiple Cause of Death Files,"
"2018-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Mar 13, 2026 12:19:49 AM"
"---"
Caveats:
